kwartier,price_eur_kwh,tarief,verbruik_kwh,ev_energie_kwh,afname_kwh,injectie_kwh,bat_laden_kwh_kw,bat_ontladen_kwh_kw,sl_productie_kwh
2024-11-01 00:00:00,0.09644951568489149,nacht,0.0,0.0,0.229,0.009,0.25,0.0,0.0
2024-11-01 00:15:00,0.0950677879549845,nacht,0.392,0.0,0.642,0.0,0.25,0.0,0.0
2024-11-01 00:30:00,0.09358913613504648,nacht,0.3239999999999999,0.0,0.574,0.0,0.25,0.0,0.0
2024-11-01 00:45:00,0.09201356022507752,nacht,0.1129999999999999,0.0,0.363,0.0,0.25,0.0,0.0
2024-11-01 01:00:00,0.09034106022507753,nacht,0.14,0.0,0.39,0.0,0.25,0.0,0.0
2024-11-01 01:15:00,0.08857163613504644,nacht,0.135,0.0,0.385,0.0,0.25,0.0,0.0
2024-11-01 01:30:00,0.08670528795498456,nacht,0.1089999999999999,0.0,0.359,0.0,0.25,0.0,0.0
2024-11-01 01:45:00,0.0847420156848915,nacht,0.093,0.0,0.343,0.0,0.25,0.0,0.0
2024-11-01 02:00:00,0.08271061841479843,nacht,0.178,0.0,0.428,0.0,0.25,0.0,0.0
2024-11-01 02:15:00,0.08072629250482953,nacht,0.4659999999999999,0.0,0.716,0.0,0.25,0.0,0.0
2024-11-01 02:30:00,0.07881783704501549,nacht,0.149,0.0,0.399,0.0,0.25,0.0,0.0
2024-11-01 02:45:00,0.07698525203535656,nacht,0.126,0.0,0.376,0.0,0.25,0.0,0.0
2024-11-01 03:00:00,0.07521896611572856,nacht,0.156,0.0,0.406,0.0,0.25,0.0,0.0
2024-11-01 03:15:00,0.07348069384563564,nacht,0.146,0.0,0.396,0.0,0.25,0.0,0.0
2024-11-01 03:30:00,0.07176086386495331,nacht,0.188,0.0,0.438,0.0,0.25,0.0,0.0
2024-11-01 03:45:00,0.07005947617368247,nacht,0.089,0.0,0.339,0.0,0.25,0.0,0.0
2024-11-01 04:00:00,0.06849976712228704,nacht,0.1169999999999999,0.0,0.367,0.0,0.25,0.0,0.0
2024-11-01 04:15:00,0.0675746821126279,nacht,0.129,0.0,0.379,0.0,0.25,0.0,0.0
2024-11-01 04:30:00,0.06740745749517077,nacht,0.1169999999999999,0.0,0.367,0.0,0.25,0.0,0.0
2024-11-01 04:45:00,0.06799809326991431,nacht,0.09,0.0,0.34,0.0,0.25,0.0,0.0
2024-11-01 05:00:00,0.06924571539512363,nacht,0.1149999999999999,0.0,0.365,0.0,0.25,0.0,0.0
2024-11-01 05:15:00,0.07074682770385221,nacht,0.127,0.0,0.377,0.0,0.25,0.0,0.0
2024-11-01 05:30:00,0.07240055615436426,nacht,0.1099999999999999,0.0,0.36,0.0,0.25,0.0,0.0
2024-11-01 05:45:00,0.07420690074666005,nacht,0.09,0.0,0.34,0.0,0.25,0.0,0.0
2024-11-01 06:00:00,0.07615612129721899,dag,0.274,0.0,0.026,0.002,0.0,0.25,0.0
2024-11-01 06:15:00,0.07820925707196306,dag,0.25,0.0,0.003,0.003,0.0,0.25,0.0
2024-11-01 06:30:00,0.08035656788737197,dag,0.261,0.0,0.055,0.044,0.0,0.25,0.0
2024-11-01 06:45:00,0.08259805374344614,dag,0.247,0.0,0.021,0.024,0.0,0.25,0.0
2024-11-01 07:00:00,0.08476917441600063,nacht,0.25,0.0,0.0,0.0,0.0,0.25,0.0
2024-11-01 07:15:00,0.08621176900829595,nacht,0.25,0.0,0.0,0.0,0.0,0.25,0.0
2024-11-01 07:30:00,0.08676129729614786,dag,0.249,0.0,0.0,0.001,0.0,0.25,0.0
2024-11-01 07:45:00,0.08641775927955542,dag,0.251,0.0,0.004,0.003,0.0,0.25,0.0
2024-11-01 08:00:00,0.08544530603877866,nacht,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-01 08:15:00,0.08490054189485272,nacht,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-01 08:30:00,0.0850476179280372,nacht,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-01 08:45:00,0.08588653413833117,dag,0.004,0.0,0.012,0.008,0.0,0.0,0.0
2024-11-01 09:00:00,0.08715210142888463,dag,0.5,0.0,0.009,0.009,0.0,0.5,0.0
2024-11-01 09:15:00,0.08778356341229256,dag,0.578,0.0,0.081,0.003,0.0,0.5,0.0
2024-11-01 09:30:00,0.08751573099170445,nacht,0.5,0.0,0.0,0.0,0.0,0.5,0.0
2024-11-01 09:45:00,0.08634860416711854,dag,0.491,0.0,0.001,0.01,0.0,0.5,0.0
2024-11-01 10:00:00,0.08431566324568211,nacht,0.25,0.0,0.0,0.0,0.0,0.25,0.0
2024-11-01 10:15:00,0.08155082945597723,nacht,0.25,0.0,0.0,0.0,0.0,0.25,0.0
