time,shortwave_radiation,direct_normal_irradiance,diffuse_radiation,sunshine_duration,sunshine_min_per_hour,poa_irradiance
2024-11-01 00:00:00,0.00,0.00,0.00,0.00,0.00,0.00
2024-11-01 01:00:00,0.00,0.00,0.00,0.00,0.00,0.00
2024-11-01 02:00:00,0.00,0.00,0.00,0.00,0.00,0.00
2024-11-01 03:00:00,0.00,0.00,0.00,0.00,0.00,0.00
2024-11-01 04:00:00,0.00,0.00,0.00,0.00,0.00,0.00
2024-11-01 05:00:00,0.00,0.00,0.00,0.00,0.00,0.00
2024-11-01 06:00:00,0.00,0.00,0.00,0.00,0.00,0.00
2024-11-01 07:00:00,0.00,0.00,0.00,0.00,0.00,0.00
2024-11-01 08:00:00,0.00,0.00,0.00,0.00,0.00,0.00
2024-11-01 09:00:00,2.00,0.00,2.00,0.00,0.00,1.86
2024-11-01 10:00:00,39.00,51.50,33.00,0.00,0.00,29.78
2024-11-01 11:00:00,104.00,62.30,89.00,69.83,1.16,85.38
2024-11-01 12:00:00,133.00,47.80,117.00,0.00,0.00,117.95
2024-11-01 13:00:00,112.00,17.80,105.00,0.00,0.00,103.60
2024-11-01 14:00:00,135.00,41.40,118.00,0.00,0.00,127.96
2024-11-01 15:00:00,87.00,23.20,78.00,0.00,0.00,84.62
2024-11-01 16:00:00,76.00,12.30,72.00,0.00,0.00,0.00
2024-11-01 17:00:00,47.00,0.00,47.00,0.00,0.00,0.00
2024-11-01 18:00:00,22.00,40.30,18.00,0.00,0.00,0.00
2024-11-01 19:00:00,0.00,0.00,0.00,0.00,0.00,0.00
2024-11-01 20:00:00,0.00,0.00,0.00,0.00,0.00,0.00
2024-11-01 21:00:00,0.00,0.00,0.00,0.00,0.00,0.00
2024-11-01 22:00:00,0.00,0.00,0.00,0.00,0.00,0.00
2024-11-01 23:00:00,0.00,0.00,0.00,0.00,0.00,0.00
2024-11-02 00:00:00,0.00,0.00,0.00,0.00,0.00,0.00
2024-11-02 01:00:00,0.00,0.00,0.00,0.00,0.00,0.00
2024-11-02 02:00:00,0.00,0.00,0.00,0.00,0.00,0.00
2024-11-02 03:00:00,0.00,0.00,0.00,0.00,0.00,0.00
2024-11-02 04:00:00,0.00,0.00,0.00,0.00,0.00,0.00
2024-11-02 05:00:00,0.00,0.00,0.00,0.00,0.00,0.00
2024-11-02 06:00:00,0.00,0.00,0.00,0.00,0.00,0.00
2024-11-02 07:00:00,0.00,0.00,0.00,0.00,0.00,0.00
2024-11-02 08:00:00,0.00,0.00,0.00,0.00,0.00,0.00
2024-11-02 09:00:00,1.00,0.00,1.00,0.00,0.00,0.93
2024-11-02 10:00:00,23.00,0.00,23.00,0.00,0.00,21.44
2024-11-02 11:00:00,62.00,12.70,59.00,0.00,0.00,55.63
2024-11-02 12:00:00,91.00,27.30,82.00,0.00,0.00,81.65
2024-11-02 13:00:00,104.00,43.80,87.00,0.00,0.00,94.98
2024-11-02 14:00:00,153.00,69.00,125.00,269.14,4.49,146.30
2024-11-02 15:00:00,116.00,10.50,112.00,0.00,0.00,110.18
2024-11-02 16:00:00,89.00,6.30,87.00,0.00,0.00,0.00
2024-11-02 17:00:00,58.00,13.60,55.00,0.00,0.00,0.00
2024-11-02 18:00:00,21.00,10.30,20.00,0.00,0.00,0.00
2024-11-02 19:00:00,0.00,0.00,0.00,0.00,0.00,0.00
2024-11-02 20:00:00,0.00,0.00,0.00,0.00,0.00,0.00
2024-11-02 21:00:00,0.00,0.00,0.00,0.00,0.00,0.00
2024-11-02 22:00:00,0.00,0.00,0.00,0.00,0.00,0.00
2024-11-02 23:00:00,0.00,0.00,0.00,0.00,0.00,0.00
2024-11-03 00:00:00,0.00,0.00,0.00,0.00,0.00,0.00
2024-11-03 01:00:00,0.00,0.00,0.00,0.00,0.00,0.00
2024-11-03 02:00:00,0.00,0.00,0.00,0.00,0.00,0.00
2024-11-03 03:00:00,0.00,0.00,0.00,0.00,0.00,0.00
2024-11-03 04:00:00,0.00,0.00,0.00,0.00,0.00,0.00
